,Date,Oil_Price,NGL_Price,Gas_Price,Oil_Prod,NGL_Prod,Gas_Prod,Oil_Revenue,NGL_Revenue,Gas_Revenue,Oil_Rev_NRI,NGL_Rev_NRI,Gas_Rev_NRI,Total_Revenue,LOE,Ad_Valorem_Tax,Sev_Tax_Oil,Sev_Tax_NGL,Sev_Tax_Gas,D&CCAPEX,Cash Flow,Cumulative Cash Flows,Time
46,2018-06-01,83.2048,30.666999999999998,4.461,2269.6439675336733,220.44239107812663,1143.0346204051011,188845.27238984578,6760.306807192909,5099.077441627156,188845.27238984578,6760.306807192909,5099.077441627156,200704.65663866585,9500,5017.616415966647,9232.414205378629,15052.849247899938,15052.849247899938,0,156348.92752152073,11244762.024966009,46
47,2018-07-01,83.15879999999999,30.649499999999996,4.484,2231.5592996710197,216.74337152254543,1123.854519005791,185573.79348948237,6643.075965480255,5039.363663221967,185573.79348948237,6643.075965480255,5039.363663221967,197256.2331181846,9500,4931.405827954615,9073.786723436491,14794.217483863846,14794.217483863846,0,153662.6055990658,11398424.630565075,47
48,2018-08-01,83.08519999999999,30.621499999999997,4.514,2194.8528813935245,213.1782085592117,1105.368488825542,182359.79062115724,6527.8365133959005,4989.633358558497,182359.79062115724,6527.8365133959005,4989.633358558497,193877.26049311162,9500,4846.931512327791,8918.353982683135,14540.79453698337,14540.79453698337,0,151030.385924134,11549455.01648921,48
49,2018-09-01,83.03,30.6005,4.534,2159.4492619669886,209.7395660739863,1087.5384907540029,179299.07222111907,6418.135591647018,4930.899517078648,179299.07222111907,6418.135591647018,4930.899517078648,190648.10732984473,9500,4766.202683246119,8769.812937172857,14298.608049738354,14298.608049738354,0,148514.87560994903,11697969.892099159,49
50,2018-10-01,82.984,30.582999999999995,4.54,2125.278085401323,206.42065776856495,1070.3293365777442,176364.07663894337,6312.9629765360205,4859.295188062959,176364.07663894337,6312.9629765360205,4859.295188062959,187536.33480354236,9500,4688.408370088559,8626.671400962949,14065.225110265676,14065.225110265676,0,146090.80481195948,11844060.696911119,50
51,2018-11-01,82.9472,30.569,4.572,2092.2743330574112,203.21510577926352,1053.7079558924775,173548.29755897968,6212.082568566307,4817.552774340407,173548.29755897968,6212.082568566307,4817.552774340407,184577.9329018864,9500,4614.44832254716,8490.584913486775,13843.34496764148,13843.34496764148,0,143786.2097305695,11987846.906641688,51
52,2018-12-01,82.9196,30.5585,4.669,2060.377595826521,200.11709776725658,1037.6442106450343,170845.68609489678,6115.27833212071,4844.760819501665,170845.68609489678,6115.27833212071,4844.760819501665,181805.72524651914,9500,4545.1431311629785,8363.06336133988,13635.429393488936,13635.429393488936,0,141626.6599670384,12129473.566608727,52
53,2019-01-01,82.9104,30.554999999999996,4.851,2029.531346309719,197.12110415614805,1022.1094289578048,168269.2557350773,6023.035337491103,4958.252839874311,168269.2557350773,6023.035337491103,4958.252839874311,179250.54391244272,9500,4481.263597811068,8245.525019972365,13443.790793433203,13443.790793433203,0,139636.17370779288,12269109.74031652,53
54,2019-02-01,82.8644,30.537499999999998,4.978,1999.6833027281634,194.22208234928124,1007.0774640333101,165702.55707058765,5931.056839741175,5013.231615957818,165702.55707058765,5931.056839741175,5013.231615957818,176646.84552628663,9500,4416.171138157166,8125.754894209185,13248.513414471498,13248.513414471498,0,137607.8926649773,12406717.632981496,54
55,2019-03-01,82.8184,30.52,4.959,1970.7842158887916,191.4152096763334,992.5233094328398,163217.1955051643,5841.992199321696,4921.9230914774525,163217.1955051643,5841.992199321696,4921.9230914774525,173981.11079596344,9500,4349.527769899086,8003.131096614318,13048.583309697258,13048.583309697258,0,135531.28531005554,12542248.918291552,55
